duration,month,hour,day_of_week,user_type
5.588995111000001,3,12,Thursday,Subscriber
12.735654708000002,3,12,Thursday,Subscriber
17.531533957,3,12,Thursday,Subscriber
10.958185826000001,3,12,Thursday,Subscriber
170.33990673000002,3,12,Thursday,Customer
150.772915398,3,12,Thursday,Customer
8.393734538,3,12,Thursday,Customer
20.555394433000004,3,12,Thursday,Subscriber
20.117119001000002,3,12,Thursday,Subscriber
2.6069354710000003,3,12,Thursday,Subscriber
126.59178178500001,3,12,Thursday,Customer
21.225041159000003,3,12,Thursday,Subscriber
38.693673858000004,3,12,Thursday,Customer
6.098805307,3,11,Thursday,Subscriber
24.026380518000003,3,11,Thursday,Customer
8.820859747,3,11,Thursday,Subscriber
3.1920638400000003,3,11,Thursday,Subscriber
28.673990135000004,3,11,Thursday,Customer
16.54299752,3,11,Thursday,Subscriber
103.98437964600001,3,11,Thursday,Customer
16.706584125000003,3,11,Thursday,Customer
6.015103633000001,3,11,Thursday,Subscriber
33.956712454000005,3,11,Thursday,Subscriber
2.1850437,3,10,Thursday,Subscriber
9.998899974,3,10,Thursday,Subscriber
10.757331809000002,3,10,Thursday,Customer
6.777235542000001,3,10,Thursday,Subscriber
5.950119000000001,3,10,Thursday,Subscriber
5.5799615970000005,3,10,Thursday,Subscriber
2.953809075,3,10,Thursday,Subscriber
42.321863087000004,3,10,Thursday,Customer
6.5735814690000005,3,10,Thursday,Subscriber
20.302522709,3,10,Thursday,Subscriber
24.064197941000003,3,10,Thursday,Customer
30.698063949,3,10,Thursday,Customer
3.5916384980000005,3,9,Thursday,Subscriber
3.3660506530000003,3,9,Thursday,Subscriber
13.279698922000001,3,9,Thursday,Customer
124.14523285500002,3,9,Thursday,Customer
17.610335533,3,9,Thursday,Subscriber
2.5852850380000003,3,9,Thursday,Subscriber
22.826756526,3,9,Thursday,Customer
58.40433473,3,9,Thursday,Customer
3.5525377160000002,3,9,Thursday,Subscriber
14.237201405,3,9,Thursday,Subscriber
27.720021056000004,3,8,Thursday,Customer
18.985163029000002,3,8,Thursday,Subscriber
17.838523430000002,3,8,Thursday,Subscriber
6.767968690000001,3,8,Thursday,Subscriber
16.824453149,3,8,Thursday,Customer
7.969292716000001,3,8,Thursday,Subscriber
25.578128219000003,3,8,Thursday,Subscriber
5.317023005,3,8,Thursday,Subscriber
13.909861525000002,3,8,Thursday,Subscriber
2.6537364070000002,3,8,Thursday,Subscriber
9.938465432000001,3,8,Thursday,Subscriber
9.792095838000002,3,8,Thursday,Subscriber
3.8214764280000004,3,8,Thursday,Subscriber
24.244251542,3,8,Thursday,Customer
16.200040661000003,3,8,Thursday,Subscriber
10.799115978000001,3,8,Thursday,Subscriber
13.937945420000002,3,8,Thursday,Subscriber
21.824386479,3,8,Thursday,Subscriber
5.133419333000001,3,8,Thursday,Subscriber
26.929288575,3,8,Thursday,Customer
3.238148095,3,8,Thursday,Subscriber
25.555611102000004,3,8,Thursday,Subscriber
18.627489209,3,7,Thursday,Subscriber
10.494476552000002,3,7,Thursday,Customer
10.466075984000001,3,7,Thursday,Subscriber
4.851630364,3,7,Thursday,Subscriber
61.70516741200001,3,7,Thursday,Customer
14.772512111000001,3,7,Thursday,Subscriber
26.343426858,3,7,Thursday,Subscriber
12.624835825000002,3,7,Thursday,Subscriber
12.12640919,3,7,Thursday,Subscriber
1.7207010800000002,3,7,Thursday,Subscriber
11.100222,3,7,Thursday,Subscriber
9.060264535,3,7,Thursday,Subscriber
14.148599633000002,3,7,Thursday,Subscriber
16.94333886,3,7,Thursday,Subscriber
16.527680547000003,3,7,Thursday,Subscriber
4.214950964000001,3,7,Thursday,Subscriber
5.272972124000001,3,7,Thursday,Subscriber
19.809629518,3,7,Thursday,Subscriber
30.138752763000003,3,7,Thursday,Subscriber
10.749648322,3,6,Thursday,Subscriber
13.083811671000001,3,6,Thursday,Subscriber
2.4931331950000004,3,6,Thursday,Subscriber
16.299209311000002,3,6,Thursday,Subscriber
10.817133005,3,6,Thursday,Subscriber
29.643209519000003,3,6,Thursday,Subscriber
14.941015481,3,6,Thursday,Subscriber
14.173116790000002,3,5,Thursday,Subscriber
7.543350864000001,3,5,Thursday,Subscriber
8.801142686,3,5,Thursday,Subscriber
8.413801606000002,3,1,Thursday,Subscriber
16.728984573,3,0,Thursday,Subscriber
9.141282822,3,23,Wednesday,Customer
1.021437095,3,23,Wednesday,Subscriber
7.980742945000001,3,23,Wednesday,Customer
9.225967849000002,3,22,Wednesday,Subscriber
5.9366520640000005,3,22,Wednesday,Subscriber
8.051794366000001,3,22,Wednesday,Subscriber
4.084931697,3,22,Wednesday,Subscriber
10.360673876000002,3,21,Wednesday,Subscriber
15.078801570000001,3,21,Wednesday,Subscriber
5.071484761000001,3,21,Wednesday,Subscriber
